# Polysun weather profile generated by hostrada4py from HOSTRADA data
# Columns: Global radiation [Wh/m2], Diffuse radiation [Wh/m2], Long-wave irradiation [Wh/m2], Ambient temperature [degC], Wind speed [m/s], Relative humidity [%]
# Location: HOSTRADA, lat=52.521918, lon=13.413215
Gh,Dh,Lh,Tamb,Vwnd,Hrel
512.5,276.558,192.845,11.6,6.3,45.9
553.5,182.488,185.174,10.6,7.4,40.6
518,115.352,182.591,10.6,7.3,36.8
437.4,72.6661,178.786,10,7.9,35
294.2,48.543,176.955,9.1,7.4,37.7
131.1,21.6315,172.117,7.3,7.7,41.7
9.6,9.6,167.474,5.9,6.7,43.4
0,0,165.356,5.2,5.7,44.6
0,0,163.892,4.5,4.1,47.1
0,0,163.442,4.1,4.1,49.4
0,0,162.023,3.7,4.1,49.7
0,0,162.024,3.5,3.5,51.4
0,0,161.349,3,3.1,54.3
0,0,160.377,2.4,2.6,57.6
0,0,161.431,2.4,3.4,60.3
0,0,163.477,2.7,2.6,62.6
0,0,165.368,3,2.9,64.5
3.4,3.38867,165.442,2.9,2.8,65.8
82.4,79.6539,167.625,3.4,3,66.3
269.2,160.595,171.197,4.5,4,63.9
409.4,181.633,170.65,5.2,6,55.6
525.1,187.277,170.638,6.3,6.2,46.3
614.8,177.145,169.333,6.8,6.4,40.4
638.6,184.916,170.193,7,5.4,40.5
697.8,127.318,175.157,8.3,5.7,40
689.3,113.735,170.879,8.4,5.6,33.1
605.2,99.858,169.025,8.7,6.5,29.2
472.5,77.9625,170.391,8.6,5.9,31.4
313.9,51.7935,171.207,8.3,6.4,34.1
146.6,24.189,170.657,7.9,4.5,35.6
19.9,19.9,170.015,7.2,4.3,38.9
0,0,168.391,6.3,2.6,42.2
0,0,168.785,5.8,1.3,46.6
0,0,173.71,6.7,2.5,49.1
0,0,174.684,7.1,3.1,47.8
0,0,174.21,7.1,3.2,46.9
0,0,173.297,6.8,3,47.5
0,0,173.2,6.7,4.1,48.1
0,0,173.148,6.6,4.2,48.8
0,0,174.112,6.7,3.5,49.9
0,0,174.194,6.6,3.9,50.9
2.9,2.89242,175.014,6.6,3.1,52.6
36.7,36.3142,176.274,6.7,3.9,54.4
201.7,172.132,178.728,7.1,4.1,56.1
412.8,184.144,184.316,8.6,3.9,54.4
524.1,193.732,190.826,10.7,4.7,49.3
512.1,273.538,192.116,11.6,5,44.7
507.5,300.193,192.281,12.1,4.8,41.5
489.3,298.078,196.561,13.2,5.1,40.6
374.4,293.321,192.389,12.2,5.7,41
356.1,246.431,193.681,12.6,6.3,40.3
224.8,190.834,193.715,12.5,6.2,41
134.3,120.314,193.674,12.4,4.7,41.6
93.1,47.391,191.984,12.2,4.7,40.4
11.2,11.2,190.834,12,4.2,40
0,0,187.062,10.8,2.8,42.2
0,0,184.645,9.6,2.9,46.8
0,0,182.576,8.4,2.4,52.6
0,0,179.69,6.8,1.5,61.2
0,0,178.102,5.7,2.1,69
0,0,176.536,4.9,1.9,74.1
0,0,176.99,4.7,1.2,78
0,0,182.28,5.9,1.4,78.5
0,0,184.399,6.6,1.3,75.8
0,0,184.73,6.7,1.5,75.5
2.4,2.39519,185.728,6.7,1.1,78.4
37.5,37.1068,188.27,7.2,1,79.4
148.2,142.193,192.68,8.7,1.9,73
348.8,230.312,194.192,10,2.6,62.4
573.5,152.431,193.531,11.1,2.7,51
686.2,130.693,193.118,12.2,3.2,42.1
662.9,172.227,193.382,12.9,2.1,38
544.1,264.888,192.428,12.7,2.8,37.9
531.5,217.13,196.859,13.6,2.9,38.5
536.4,113.098,195.45,13.5,3,37.2
394.1,106.276,194.477,13.4,2.9,36.5
241.1,88.8336,197.225,14,1.9,36.6
113.3,33.8318,195.378,13.4,3.2,37.7
17,17,192.797,12.4,1.9,40.3
0,0,188.364,10.5,2.4,46.5
0,0,188.629,9.8,2.3,52.6
0,0,185.999,8.9,2,55.2
0,0,185.643,8.6,1.5,57.2
0,0,182.989,7.9,1.4,58
0,0,178.253,6.6,1.1,59.8
0,0,178.496,6.4,1,62.4
0,0,179.847,6.7,1.2,62.6
0,0,179.082,6.5,0.9,62.8
0,0,178.271,6.1,0.9,65
3.1,3.09253,179.698,6.4,1.4,65.4
30.1,29.8525,181.165,6.8,1.9,64.8
83.9,82.7057,183.184,7.5,1.5,62.4
246.2,222.952,186.331,8.6,1.6,58.7
555,174.906,196.236,11.1,1.6,56.2
615.3,191.888,205.503,13.6,2.9,52
524.7,297.118,203.445,13.7,3.5,47.7
490.9,303.746,203.863,14.4,4.7,43.3
312.6,279.636,200.687,13.9,5.7,42
220.9,210.249,201.564,13.9,5.3,43.3
189,175.627,201.829,13.8,5.9,44.4
168.5,131.824,203.015,13.7,5.7,47
87.6,57.854,202.268,13.2,5.9,49.6
16.6,16.6,200.061,12.4,4.8,52.2
0,0,197.697,11.4,4.1,56.4
0,0,195.582,10.2,5.3,63.5
0,0,193.986,9.3,5.1,69.4
0,0,191.813,8.6,5.3,71.9
0,0,190.106,8.1,5.3,73.3
0,0,188.028,7.5,4.7,74.9
0,0,186.401,6.9,4.9,77.8
0,0,186.53,6.7,4.1,80.8
0,0,186.903,6.6,4.4,83.3
0,0,187.38,6.6,4,84.8
3,2.99345,188.362,6.8,3.6,85.1
32.2,31.923,188.868,7,4.2,83.9
118.8,116.428,190.525,7.6,4.2,80.8
281.6,238.436,191.432,8.2,3.8,75.7
531.5,202.688,195.544,9.6,4.4,69.9
611.7,200.313,197.71,10.6,4.9,64.2
706.3,146.274,197.04,10.8,5.4,60.7
729.8,125.236,201.393,12,5.9,58.3
669,116.158,204.705,13.1,5.7,54.8
525.2,129.306,207.136,13.9,5.5,52.4
403.2,106.687,206.978,14,5.9,51.3
284.4,59.3542,207.39,14.3,5.5,49.6
151.3,24.9645,205.519,13.8,5.4,50.4
24.3,24.3,205.011,13.2,3.8,54.5
0,0,203.412,12.5,5.3,57.7
0,0,199.698,11.3,6.2,61.5
0,0,196.124,10.1,5.5,65.8
0,0,195.474,9.7,5.6,68.6
0,0,196.239,9.7,5.9,70.5
0,0,195.086,9.3,6.3,72.2
0,0,194.33,8.9,6.9,75
0,0,190.788,8,8.8,76.4
0,0,189.485,7.7,6.8,76.5
0,0,190.554,7.9,6.7,77
3,2.99383,191.107,8,6.7,77.3
33.5,33.2067,192.384,8.3,6.9,77.1
99,97.3803,193.07,8.5,6.6,76.5
295.5,243.213,196.456,9.4,6.8,74.6
405.9,287.982,203.387,11.3,7.1,69.9
179.6,176.52,200.797,11.1,6.7,66
136.3,134.589,200.91,11.2,7.5,65.2
133,131.336,201.768,11.3,7.3,66.1
129,127.301,203.732,11.6,6.8,67.4
155.6,152.722,208.264,12.7,4.8,65.9
262.4,201.9,214.535,14.5,5.9,60.9
240.8,102.753,214.283,14.8,5.2,57.6
143,24.731,212.889,14.6,4.3,56.8
26.3,26.3,206.754,13,3.2,59.7
0,0,205.87,12.3,2.1,64.8
0,0,198.447,10.2,1.4,70.3
0,0,197.881,9.5,0.7,77.2
0,0,198.962,9.5,1.1,80.2
0,0,190.752,7.4,0.9,84.2
0,0,188.18,6.4,1.2,90.3
0,0,195.829,8.1,2.6,90.2
0,0,203.777,10.1,2.2,86
0,0,204.07,10.3,2.3,84.1
0,0,203.573,10.1,2.5,85.4
13.7,13.5785,204.52,10.2,2.9,86.8
74.6,73.1757,206.114,10.6,3.2,85.9
218.8,184.895,206.708,10.9,3.7,83.5
304.9,246.435,208.566,11.5,3.6,80.7
259.5,245.98,207.228,11.4,3,78.4
270.8,259.463,205.763,11.1,3.1,78.3
477.9,328.518,209.239,11.9,3.1,77.4
727,129.921,215.522,13.7,2,71.4
688,115.428,223.398,16,1.7,63.8
608.9,100.469,221.034,16.3,1.6,56.5
477.3,78.7545,222.616,17.4,1.5,50
323.4,53.361,221.371,17.6,1.4,46.6
164,27.06,219.049,17.1,1.9,46.8
27,27,215.509,15.8,1.4,51.2
0,0,207.148,13,1.3,60.5
0,0,202.721,11,1.2,71.7
0,0,204.307,10.8,2.1,78.2
0,0,203.662,10.4,1.8,81.6
0,0,204.139,10.3,2.4,84.3
0,0,203.878,10.1,2.7,86.3
0,0,205.196,10.3,2.6,87.4
0,0,202.526,9.7,2.5,87.9
0,0,202.448,9.6,2.5,89.1
0,0,202.011,9.5,3,89.2
25,24.6164,204.281,10.1,2.7,87.5
110.9,104.525,211.568,12,3.2,82.3
284.8,181.676,221.035,14.7,3.7,72.7
464,169.532,228.898,17.3,4.2,61.7
564,186.976,232.192,18.8,4.4,54
650.5,178.087,237.767,20.6,4.4,48.3
505.7,320.824,238.61,21.4,4.2,43.8
236.3,230.504,237.145,21.3,4.4,42.6
490.8,269.784,241.965,22.3,6.9,42.1
359.5,259.678,240.995,22.1,6.1,42.2
75.3,74.4529,237.587,21.1,5.6,44.5
142.7,129.176,239.195,20.9,5.5,48.1
139.1,33.7018,239.997,20.8,4.2,50
27,27,236.23,19.8,2.4,52.2
0,0,231.358,18.1,1.7,58.7
0,0,233.973,18.1,2.3,63.5
0,0,235.173,18.3,3,63.8
0,0,232.463,17.6,2.2,65.6
0,0,229.165,16.6,2.3,69.4
0,0,222.609,14.8,2.1,75.2
0,0,221.333,14,1.8,82
0,0,213.885,12.1,1.1,87.4
0,0,209.88,11,1.4,91.4
0,0,208.436,10.6,1.3,92.9
20.1,19.8642,208.95,10.7,1.2,93
137.3,120.107,219.786,13.1,1.4,90.1
309,172.389,227.62,15.3,1.8,81.2
415.8,216.405,232.642,17.2,2.4,70.2
495.5,252.95,233.456,17.9,3.2,64.5
465.1,321.129,233.92,18.1,3,63.4
538.5,306.153,235.264,18.8,3.8,59.2
555.2,279.558,238.902,20.2,3.1,53.1
457.9,291.447,235.749,20,3.2,49.9
511.6,158.134,234.564,20.3,2.6,46
411.6,115.843,232.789,20.5,1.6,42.3
326,53.8485,233.054,20.9,2.3,40.1
177.1,29.2215,231.183,20.5,1.7,40.3
32.9,32.9,225.574,18.6,2,45.5
0,0,221.805,16.9,2.4,52.7
0,0,220.204,15.9,2.3,58.6
0,0,221.048,15.6,2.5,63.1
0,0,222.117,15.5,3.5,66.3
0,0,226.655,16.4,3.7,66.3
0,0,227.333,16.4,4.4,67.7
0,0,227.395,16.1,4,71.1
0,0,227.578,16.1,4.3,71.5
0,0,226.274,15.8,3.8,72
0,0,221.435,14.6,4.2,74.8
27,26.594,219.338,13.9,3.5,78.2
148.7,125.264,224.24,14.9,3.6,77.9
306.4,178.326,232.72,17,4.5,72.6
465.6,178.496,241.611,19.5,5,64
589.2,172.807,248.033,21.6,6.6,55.7
491.8,314.172,245.736,21.7,6.3,51.4
369.4,325.587,243.733,21.3,6.9,51.6
294.8,279.421,244.869,21.5,6.4,51.7
187.6,184.086,242.736,21.1,6,51.7
109.4,108.014,241.06,20.5,6.1,54
100,98.5308,240.725,20.2,5.4,56
77.5,76.2099,238.937,19.6,5.4,58.3
68.1,63.2984,236.531,18.6,5.4,63.4
6.4,6.4,238.232,18.5,4.7,67.7
0,0,234.438,17.6,4.7,69.6
0,0,231.833,16.9,5.1,71.8
0,0,229.371,16.3,4.4,73.2
0,0,228.537,16,3.4,74.8
0,0,226.75,15.5,3,76.6
0,0,224.305,14.8,2.6,79.3
0,0,222.182,14.1,2.8,82.9
0,0,219.26,13.2,1.9,87.2
0,0,223.211,13.8,2.9,89.8
0,0,221.974,13.5,2.1,90.6
28.7,28.2612,222.987,13.7,1.9,90.6
150.4,127.319,227.816,14.8,2.1,88.4
307,182.068,236.525,16.9,1.5,82.6
464.3,184.792,242.119,18.7,2.1,73.5
600.9,166.65,244.613,19.9,1.7,65.6
689.7,157.298,247.417,21,2.6,60
749,139.808,251.344,22.4,2.6,54.1
753.9,129.174,254.381,23.5,2.1,49.8
703.5,117.996,257.628,24.6,2.3,46.1
608,101.727,258.298,25.2,2.3,42.9
471.2,81.9761,260.866,25.9,2.7,41.4
320.7,57.2963,259.926,26.2,3.4,38.6
150.3,37.0508,252.266,24.7,3.2,39.2
27.5,27.5,248.258,23,3.3,45.3
0,0,245.203,21.4,3.6,53
0,0,249.595,21.6,4.6,58.2
0,0,250.022,21.6,4.2,58.9
0,0,245.022,20.6,4.1,59.6
0,0,240.572,19.5,4,62.1
0,0,239.54,19,4.2,65.1
0,0,237.076,18.3,3.9,67.5
0,0,235.202,17.7,4.2,70.1
0,0,234.377,17.3,3,72.8
0,0,233.194,16.9,3,74.8
32.4,31.8639,232.335,16.6,2.4,76.4
132.6,120.984,236.594,17.6,2.6,74.2
171.3,163.367,240.403,18.9,3.2,67.8
339.7,257.724,244.76,20.4,3.2,61
578.8,192.222,250.428,22.1,3.4,55.2
684.5,165.378,255.078,23.6,3.9,50
738.7,148.292,257.387,24.6,3.2,45.8
619.5,234.926,259.195,25.3,3.6,43.3
479.6,289.083,259.996,25.6,3.4,42.3
469.1,210.024,259.57,25.2,2.9,44.4
398.2,141.144,253.428,23.3,5,50
239.5,127.801,254.155,22.9,4.6,54.2
117.7,69.1906,250.924,21.9,4.5,57.7
23.6,23.6,244.451,20,3.6,64.3
0,0,243.259,19.2,3.6,70.3
0,0,240.167,18.3,4.1,73.9
0,0,236.571,17.4,3,76.5
0,0,235.378,17,2.5,78.6
0,0,232.592,16.3,2.4,80.7
0,0,231.401,15.9,2.3,82.9
0,0,229.669,15.4,2.9,85.1
0,0,228.625,15,3,87.8
0,0,230.106,15.2,2.6,89
0,0,229.106,15,3.4,89.1
5.9,5.88292,226.611,14.3,2.5,92.2
21.1,20.9982,223.451,13.5,3.6,94.9
46.9,46.5651,220.952,13,4.1,95
75.4,74.7286,218.079,12.5,4,93.9
111.4,110.152,216.02,12.2,3.5,92.2
117.9,116.625,214.339,11.9,3.7,91.6
166,163.554,215.494,12.3,3.7,89.2
213.4,209.267,214.72,12.4,3.2,85.6
137.1,135.253,214.977,12.6,3.3,83.6
102.7,101.501,212.798,12.2,4.2,83
71.3,70.5708,212.835,12.2,4.1,83.1
64.7,63.8331,211.593,11.9,4,83.7
28.7,28.3723,211.988,11.9,3.7,84.8
4,4,211.616,11.7,3.8,86.5
0,0,211.992,11.6,3.5,89
0,0,211.534,11.3,3.6,92
0,0,209.817,10.8,4,94.2
0,0,206.914,10.1,3.9,95.7
0,0,206.141,9.9,3.9,96.3
0,0,205.51,9.8,2.8,95.8
0,0,203.991,9.5,2.7,95.5
0,0,203.777,9.5,2.9,94.8
0,0,203.119,9.4,2.7,94.2
0,0,203.026,9.4,1.7,93.9
4.7,4.68956,202.42,9.2,2.6,95
28,27.8238,202.814,9.2,4.1,96.3
88.7,87.5147,202.222,9.1,3.6,95.9
149.8,147.17,203.499,9.5,3.5,93.9
173.6,170.588,204.069,9.8,3.3,91.2
173.9,171.14,204.621,10.2,3.9,87.1
104.5,103.535,199.792,9.3,3.8,85.3
121.7,120.362,200.555,9.5,3.5,84.8
137.6,135.749,198.963,9.1,3.4,85.6
83.7,82.9082,198.165,8.6,2.8,90.3
126.5,124.222,201.711,9.3,2.8,91.2
115.1,111.608,201.324,9.5,3.8,87.1
69.2,65.7329,201.546,9.8,2.4,83.6
15,15,202.171,10,2,82.7
0,0,202.518,10,2.1,83.7
0,0,202.563,9.9,2,85.2
0,0,202.095,9.7,1.8,86.6
0,0,199.351,9,1.6,88.2
0,0,194.398,7.7,1.3,91.5
0,0,192.059,6.9,1.3,95.9
0,0,191.467,6.7,1.8,97
0,0,189.638,6.3,1.5,96.9
0,0,189.694,6.3,2,97.1
0,0,187.461,5.8,1.1,97.1
30.8,30.3676,190.311,6.4,0.9,97.7
146.5,130.881,194.908,7.4,1.4,97.9
318.6,191.013,203.587,9.3,1.6,97.3
491.6,178.553,215.56,12.6,1.6,85.2
634.6,154.278,220.561,15,2.2,68.3
731.5,142.172,220.591,16,2.2,58.4
781.7,135.608,224.313,17.2,2,54.4
789.9,130.403,225.481,18,1.7,49.8
742.8,122.562,226.212,18.9,1.5,44.3
649.1,107.101,226.47,19.5,2.1,40.7
501.6,82.8853,229.827,20.2,1.6,40.5
270.5,113.958,231.566,20.4,1,41.4
135.5,68.0873,232.394,20.5,1.3,41.8
28.1,28.1,230.069,19.2,0.9,47.6
0,0,225.291,16.8,0.8,59.7
0,0,224.212,15.5,0.7,70.8
0,0,224.037,15.1,0.8,75
0,0,223.311,14.7,0.9,78.1
0,0,225.455,14.9,0.8,80.9
0,0,224.911,14.7,1.3,82.1
0,0,229.76,15.5,2.9,84
0,0,228.699,15,2.2,88
0,0,229.226,14.8,1,92.3
0,0,225.288,13.9,1.2,94.3
5.2,5.18809,227.651,14.3,1.8,95.2
29.8,29.6067,231.529,15.1,1.8,94.4
119.4,117.295,231.521,15.2,1.6,92.9
257.1,237.789,231.852,15.6,1.9,88.1
464.4,296.572,232.844,16.2,2.3,82.6
464.2,337.526,235.868,17.2,2.2,77.3
370,330.576,234.515,17.3,2.9,73.1
306.7,289.97,235.012,17.6,3.1,70.8
316,289.182,234.856,18.3,2.5,63.2
278.1,252.98,231.46,18.4,2.8,56.2
213.9,197.155,230.177,18.7,2.5,51.6
130,124.291,227.184,18.3,2.7,50.1
86.1,77.3903,228.45,18.2,2.3,52.9
11.1,11.1,229.461,17.6,2.8,59.9
0,0,226.587,15.8,2.1,72.7
0,0,224.167,14.5,1.8,82.8
0,0,222.204,13.7,1.7,88.4
0,0,217.381,12.4,1.6,93.3
0,0,213.015,11.3,1.2,96.6
0,0,210.212,10.7,1.5,97
0,0,211.721,11.1,1.6,95.6
0,0,210.715,10.9,1.5,95.5
0,0,211.954,11.2,1.4,94.8
0,0,211.992,11.3,1.3,93.4
25.3,25.0271,215.529,12,2.5,93.7
105,102.249,221.365,13.4,2.1,90.3
192.1,180.6,222.08,13.9,2.1,85.3
409.9,250.739,224.587,14.8,2,80
610.8,184.024,227.206,15.8,3.3,74.1
664.3,203.702,229.107,16.9,2.2,66.1
545.7,326.503,229.932,17.8,2.6,58.9
288.1,276.084,229.061,18,2.5,55.6
179,175.912,226.821,17.2,2.6,58.8
199.3,194.317,230.167,17.6,3.3,61.2
193.3,183.578,228.874,17.4,2.9,60.7
239.5,144.199,232.36,18.1,3,60.5
133.9,76.5485,229.823,17.9,2.6,57.8
33.4,33.4,226.97,17.1,2.5,60
0,0,222.839,15.4,1.6,68.9
0,0,223.196,14.8,2,76.6
0,0,218.64,13.5,1.6,81.5
0,0,215.219,12.4,1.1,87
0,0,213.377,11.8,1.7,90.2
0,0,215.48,12.2,1.6,90.6
0,0,211.911,11.5,1.4,90.2
0,0,210.562,11.1,1.2,92
0,0,208.336,10.5,0.9,94.1
0,0,206.666,10.1,1.8,94.9
44.3,43.4888,206.342,10,0.8,95.4
169.4,142.944,218.676,12.7,0.7,92.7
321.4,200.093,225.671,14.6,1.9,85.4
416.3,250.571,231.729,16.5,0.9,76.2
498.4,284.445,230.481,17.1,1.6,66.8
527.6,319.922,230.923,17.8,1.2,60.7
444.9,353.371,229.538,17.9,1.6,57.3
391.1,336.636,231.342,18.4,1.6,56
310,286.568,228.856,17.8,2.2,57
288.6,259.669,227.893,17,3.6,62.7
285.5,222.084,231.585,17.2,3.9,68
211.8,156.134,232.514,17.6,3.6,65.7
117.2,85.8438,230.508,17.3,2.9,64.8
36.7,36.7,230.628,17.1,3.3,67.1
0,0,222.556,15.1,3.5,71.6
0,0,221.473,14.4,3.2,77.3
0,0,221.58,14.3,3.6,78.8
0,0,218.88,13.8,3.6,78.3
0,0,215.021,12.9,2.8,79.8
0,0,212.729,12.4,2.7,80.2
0,0,207.641,11.4,2.4,79.5
0,0,207.864,11.4,2.4,80.1
0,0,206.8,11.1,2.6,81.1
0,0,205.401,10.7,2.7,82.5
12,11.9422,208.561,11.6,3.2,79.4
81.5,80.117,209.857,12.2,3.9,75.3
225,201.313,212.702,13,4.1,72.8
380,267.74,215.977,14.1,4.7,68
507.2,282.029,219.896,15.5,4.9,61.8
637.2,237.503,220.537,16.5,5.2,53.9
703.8,200.352,221.815,17.5,5.7,48
701.5,183.839,223.623,18,5.2,47
519.9,284.454,222.136,17.7,4.6,47
530.9,178.683,224.069,18.2,5.1,46.2
441.7,127.373,221.188,17.4,4.7,47.8
317,86.4514,221.632,17,5,51.6
156.9,66.2652,220.965,16.4,4.9,55.5
23.3,23.3,219.162,15.7,4.4,58.5
0,0,217.177,15,3.5,61.3
0,0,214.981,14.2,4.1,64.8
0,0,212.659,13.3,4.2,69.3
0,0,208.936,12,4.2,75.4
0,0,205.044,10.7,3.7,81.5
0,0,204.518,10.3,4.1,85.4
0,0,204.452,10.2,4.3,86.6
0,0,204.419,10.2,4,86.5
0,0,204.385,10.2,4,86.4
0,0,203.979,10.1,4.4,86.6
6.1,6.08549,202.935,9.9,4.2,86.3
46.4,45.9579,202.461,9.9,4.6,84.9
113.3,111.474,199.579,9.4,4.3,83.3
264.2,244.348,201.713,10,3.8,81.4
514.7,280.229,203.78,10.8,3,76.8
657.9,221.468,211.604,13.1,3.6,69.1
730.1,180.321,215.66,14.7,4,61.2
776.7,136.847,215.586,16.2,3.6,48.2
733.8,123.354,207.623,16.4,4.3,35.9
636,107.494,207.276,17,4,32.3
513.8,85.8391,207.831,17.1,3.8,32.4
373.5,61.6275,209.382,17.2,3.9,33.6
215.8,35.607,208.138,16.6,3.8,35.4
66.1,66.1,205.876,15.4,4.1,39.6
0,0,205.295,14.3,4.5,46.2
0,0,203.302,13.2,4.4,51.4
0,0,200.492,12,3.8,56.5
0,0,198.23,11,3.4,61.3
0,0,197.19,10.4,3.5,65.1
0,0,194.568,9.5,3.1,68.6
0,0,193.161,8.9,2.9,71.9
0,0,191.964,8.4,2.8,74.7
0,0,191.827,8.2,3.6,76.8
1,1,191.235,8.1,3.4,76.4
64,61.8361,191.25,8.2,3.7,75.2
221.7,146.55,194.597,9.4,3.8,69.8
384.4,166.916,197.495,10.9,4.1,60.7
536.3,162.739,199.527,12.2,3.8,52.9
674.3,144.781,199.865,13,4,47.1
775,136.014,201.942,14.1,4.2,42.5
824.5,136.471,200.221,14.2,5.1,39.4
831.6,137.214,202.354,14.7,5.2,39.2
786.3,129.74,204.51,15.3,4.9,38.4
688.6,113.619,203.032,15.3,4.9,36.5
558.6,92.169,204.006,15.6,5.3,36
401,66.165,202.273,15.4,4.7,35
232.7,38.3955,201.116,15.2,4.3,34.7
73.7,73.7,198.735,14.2,3.4,37.4
0,0,195.407,12.7,2.8,42.2
0,0,194.255,11.6,3.1,48.3
0,0,198.308,12.1,3.9,51.5
0,0,194.75,11.3,3.7,51.6
0,0,190.983,10.3,3.7,52.9
0,0,185.41,8.6,3.3,56.7
0,0,182.366,7.3,2.7,62.5
0,0,183.087,7.1,2.8,66.4
0,0,184.07,7.3,3.4,66.7
2,2,182.186,6.8,3.3,67.4
69,66.1894,183.716,7.2,3.5,66.9
227.7,147.232,187.485,8.5,3.1,62.3
392,164.406,193.388,10.5,3.2,55.9
544.6,159.048,200.187,12.9,3.6,48.4
682,142.458,202.4,14.2,4.1,42.5
781.9,135.536,204.427,15.2,4.3,38.9
831.9,137.341,205.731,15.8,4,37
840.5,138.683,208.39,16.6,4,35.7
791.3,130.565,207.641,17,4,32.7
693.9,114.494,208.028,17.7,3.7,29.7
564.6,93.159,209.687,18.3,3.7,28.6
408,67.32,208.838,18.3,3.5,27.8
238.3,39.3195,207.98,18,3.2,28.3
77.7,77.7,205.89,16.7,3,32.3
0,0,200.128,14.1,2.5,39.9
0,0,199.075,12.8,3.1,47.3
0,0,198.181,11.8,2.8,53.8
0,0,199.863,11.7,2.3,58
0,0,195.168,10.5,2.3,59.6
0,0,191.178,9.2,1.8,63.7
0,0,189.641,8.4,1.4,68.6
0,0,189.696,8.1,1.5,72.2
0,0,188.66,7.7,1.6,74.2
2,2,187.978,7.4,1.3,76
70.5,67.6651,193.485,8.6,1.7,76.4
228.9,149.786,202.328,11.1,1.5,69.6
393.4,167.398,208.721,13.5,1.6,58.9
545.7,162.046,215.313,16,1.8,49.3
682.1,145.336,217.612,17.7,2.7,40.7
779.8,137.716,216.042,18.4,2.5,34.7
829.4,137.48,214.787,18.7,2.4,31.8
836.6,138.039,216.235,19.6,1.7,29
788.2,130.053,216.305,20.2,1.8,26.5
693.3,114.394,219.531,21.1,1.6,25.6
563.7,93.0105,218.632,21.5,1.7,23.4
406.1,67.0065,220.133,22.1,1.6,22.4
237.5,39.1875,224.012,22,1.6,25.7
79.1,13.0515,219.593,20.3,2.6,29
0,0,214.006,17.9,2.4,35.1
0,0,211.502,15.9,1,44.2
0,0,209.517,14.7,1.4,50
0,0,207.325,13.5,1.6,56.2
0,0,204.759,12.2,1.4,63.4
0,0,203.043,11.2,0.9,70.2
0,0,202.857,10.8,1.4,74.4
0,0,201.363,10.3,1.2,76.6
0,0,202.878,10.6,1.6,76.9
2,2,203.835,11,1.8,74.5
67.7,65.5563,207.314,12,2.2,71.4
217.7,155.85,218.047,14.7,1.7,66.1
376.3,185.952,226.769,17.4,2.5,56.9
481.2,225.812,228.651,18.4,3.4,51.6
536,277.714,228.081,18.3,3.7,51.5
718.5,179.365,234.171,19.8,4.1,49.1
791.8,148.292,233.463,20.2,3.6,45.2
773.4,145.421,234.619,20.6,3.8,44
755.9,125.115,239.625,21.7,3.4,43.1
661.5,109.271,241.158,22.1,4.5,42.4
524.5,88.3844,242.455,22.3,4.2,42.7
350.1,76.5938,243.125,22.2,4.4,44.2
198.3,48.5479,243.449,21.9,4.1,46.7
68.1,11.3797,241.785,21.1,3.3,50.3
0,0,236.459,19.4,3.2,55.9
0,0,232.442,18,2.4,61.6
0,0,227.869,16.6,2.2,66.7
0,0,225.178,15.7,1.8,70.7
0,0,219.688,14.2,1,75.4
0,0,216.201,13,1.2,81.6
0,0,215.452,12.6,0.7,84.9
0,0,210.923,11.5,0.8,87.3
0,0,209.683,11,1.2,90.8
3,3,209.433,10.8,1.2,93
53,52.0326,213.688,11.7,1.1,92.6
174.4,152.889,226.348,14.5,1.6,88.6
366,197.256,232.589,16.5,2,78.2
516.5,197.832,235.028,17.9,2.3,67.6
608,218.086,239.001,19.1,3.6,63.1
648.7,248.013,240.46,19.8,4,59.1
728.5,197.607,240.482,20.5,3.5,53.1
776,146.063,240.6,21.1,3.9,48.6
748.9,125.976,240.8,21.7,3.1,44.6
651.3,110.257,242.409,22.4,3.8,42
539.8,89.0675,245.699,23.1,3.8,41.5
389.2,64.2308,243.428,22.8,3.7,40.7
223.1,37.6381,241.762,22.5,3,40.6
80,13.2,237.954,21.2,3.1,44.3
1,1,232.672,19.1,2.7,52.3
0,0,229.303,17.4,1.9,61.5
0,0,226.234,16.1,2.9,68.6
0,0,228.793,16.5,2.4,69.7
0,0,223.148,15.2,1.6,71.8
0,0,221.257,14.3,1,78
0,0,215.442,12.9,1.2,80.9
0,0,213.881,12.2,0.8,86
0,0,211.641,11.5,0.6,89.4
3,3,209.495,10.9,0.8,91.7
79.3,75.4237,216.299,12.4,0.9,90.1
235.7,155.736,232.073,15.9,1.2,84.6
397,176.274,240.338,18.5,2.1,72
546.3,173.121,243.062,20.4,1.9,58.1
678.3,157.185,243.995,21.4,1.9,51.2
773.7,145.817,244.06,22.1,2.1,46.1
817.1,141.776,243.019,22.5,1.7,42.1
810.8,136.331,246.617,23.7,1.8,38.9
741.7,128.409,243.772,23.9,1.9,34.8
665,110.116,244.23,24.4,2.2,32.7
556.5,91.8225,244.803,24.8,1.6,31.3
407.2,67.188,244.487,25,2.1,30.1
244,40.26,246.081,25,1.4,31.5
85.7,14.1405,243.233,23.5,1.7,36.4
1,1,236.972,21.1,1.4,43.7
0,0,232.153,19.2,2.5,50.7
0,0,229.865,18.1,2.4,56.1
0,0,226.839,17,2.3,60.7
0,0,226.882,16.7,1.7,63.7
0,0,223.882,15.9,2,65.8
0,0,219.345,14.7,2.7,68.9
