# Polysun weather profile generated by hostrada4py from HOSTRADA data
# Columns: Global radiation [Wh/m2], Diffuse radiation [Wh/m2], Long-wave irradiation [Wh/m2], Ambient temperature [degC], Wind speed [m/s], Relative humidity [%]
# Location: HOSTRADA, lat=52.521918, lon=13.413215
Gh,Dh,Lh,Tamb,Vwnd,Hrel
0,0,195.636,10.3,4.6,62.6
0,0,193.474,9.9,5.3,61.8
0,0,189.55,9.2,5.1,60
0,0,187.496,8.3,3.3,64.4
0,0,188.92,8.3,4.2,67.9
0,0,188.318,8.3,5.1,66.4
0,0,187.347,8.2,5.5,65.1
0,0,185.721,7.8,4.1,65.4
0,0,185.106,7.8,4.9,63.9
22,21.5834,183.498,7.4,4.9,64.2
94.5,80.2698,185.124,7.7,6.4,65
76.7,75.0332,185.106,7.8,6.1,63.9
127.4,115.864,186.647,8.6,6.3,59.4
78,76.4444,181.693,7.8,6.8,56.1
24.6,24.4087,181.254,7.6,6.8,57
26.6,26.2202,181.526,7.6,5.9,57.6
13.3,13.3,179.846,7.1,5.3,58.6
0,0,180.368,7.1,6,59.8
0,0,178.008,5.9,4.8,66.5
0,0,171.314,3.1,6.4,81.2
0,0,173.074,3,5.4,88.7
0,0,170.527,2.5,4.5,87
0,0,171.567,2.8,3.6,86.3
0,0,172.311,3,5.7,86
0,0,169.982,2.3,4.9,88
0,0,168.744,1.8,5.1,91
0,0,168.624,1.7,4.4,92.1
0,0,169.112,1.8,4,92.4
0,0,166.313,1.1,3.4,92.6
0,0,169.391,1.9,4.4,91.9
0,0,169.814,2.1,4.6,90.4
0,0,168.671,1.9,4.7,89.2
0,0,166.962,1.5,4.6,88.9
14.7,14.5172,166.206,1.3,4.6,89.1
96.8,81.4013,169.155,2.2,4.8,86.5
196.7,90.3306,171.554,3.1,4.8,82
193.9,118.959,174.727,4.2,5.4,77.5
94.6,91.5977,173.967,4.4,5.9,72.7
52.6,51.7367,173.064,4.4,6,70.1
72.6,58.3963,172.261,4.3,4.8,69
29.5,29.5,169.606,3.6,4.2,69.6
0,0,167.317,2.9,4.7,71.2
0,0,164.465,2,3.8,73.5
0,0,163.718,1.5,3.1,77.5
0,0,163.419,1.1,3.4,81.9
0,0,162.354,0.6,2.8,85.2
0,0,161.598,0.3,1.9,86.8
0,0,164.303,0.9,2.4,88
0,0,162.682,0.5,2.9,87.9
0,0,166.493,1.6,2.4,85.7
0,0,167.2,1.9,2.6,83.9
0,0,167.124,1.6,1.9,88
0,0,167.865,1.4,2.1,93.9
0,0,168.755,1.5,2.4,95.8
0,0,169.475,1.7,2.8,95.4
0,0,169.09,1.6,3.2,95.5
0,0,169.627,1.7,2.7,96
5.3,5.27668,168.346,1.4,1.3,95.8
51.8,50.8132,168.831,1.5,1.8,96.1
75.8,74.2373,169.115,1.6,2.7,95.6
45.1,44.612,168.784,1.6,2.7,94.3
39.2,38.8162,169.45,1.8,2.5,93.7
34.5,34.1336,169.246,1.7,3.1,94.5
24.5,24.1927,168.912,1.6,3.1,94.8
11.6,11.6,166.922,1.1,3.4,95
0,0,166.591,1,4.2,95.3
0,0,166.161,0.9,5.4,95.2
0,0,167.559,1.3,6.5,94.3
0,0,166.746,1.1,6.3,94.3
0,0,166.72,1.1,6.7,94.2
0,0,167.227,1.3,5.7,93
0,0,166.948,1.2,5.2,93.5
0,0,167.152,1.2,5.8,94.3
0,0,168.477,1.5,6,94.7
0,0,168.886,1.6,6.3,94.7
0,0,169.169,1.7,6.7,94.2
0,0,169.45,1.8,6.3,93.7
0,0,169.68,1.9,6.6,93
0,0,169.06,1.8,6.6,92.2
0,0,169.339,1.9,5.3,91.7
0,0,168.902,1.8,5.1,91.6
11.3,11.1961,169.073,1.9,4.7,90.7
49.6,48.7047,168.414,1.7,5.2,91.3
40.6,40.162,168.067,1.5,4.9,93.1
41,40.6004,167.457,1.3,4.6,93.9
60.9,59.9833,166.997,1.1,4.3,95.3
43.8,43.2176,168.396,1.4,4.7,96
25.6,25.2725,167.197,1.1,4.4,96.1
4.6,4.6,167.247,1.1,4.7,96.3
0,0,167.247,1.1,4.6,96.3
0,0,169.937,1.8,5.4,95.6
0,0,169.348,1.7,4.3,94.9
0,0,170.429,2,5.1,94.3
0,0,169.295,1.8,4.8,93.1
0,0,168.015,1.5,5,92.9
0,0,168.137,1.6,6.2,91.8
0,0,167.113,1.4,5.2,91
0,0,166.224,1.2,5.4,90.7
0,0,165.155,1,5.7,89.7
0,0,164.97,1,6.1,89
0,0,164.33,0.9,5.6,88.1
0,0,164.3,1,6.4,86.5
0,0,163.71,0.9,7.1,85.8
0,0,162.893,0.6,6.9,87.2
0,0,162.19,0.6,7.7,84.6
8.5,8.44242,160.371,0.4,7.6,80.9
70.2,67.4508,159.476,0.2,8.2,80.5
115.2,105.773,160.363,0.5,8.5,79.5
121.6,113.719,160.827,0.7,8.6,78.4
60.1,59.2168,160.288,0.6,8.7,77.9
66.4,65.0755,160.987,0.9,9.5,76.3
68,60.0407,161.283,1.1,8.2,74.7
10.4,10.4,161.883,1.3,9.1,74.1
0,0,162.089,1.4,8.3,73.5
0,0,162.039,1.3,8.4,74.6
0,0,161.701,0.9,7.6,78.7
0,0,162.851,0.9,6.7,82.7
0,0,163.148,0.8,5.5,85.2
0,0,164.206,1.1,5.2,84.7
0,0,165.247,1.8,7.2,78.6
0,0,163.683,1.7,6.3,74.8
0,0,163.901,1.7,5.9,75.5
0,0,163.536,1.5,5.1,76.9
0,0,164.146,1.6,5.6,77.6
