time,value_mean,value_min,value_max,cell_count
2019-08-01 00:00:00,15.526138613861388,14.600000000000001,17.8,1515
2019-08-01 01:00:00,15.402838283828382,14.5,17.5,1515
2019-08-01 02:00:00,14.806996699669968,13.600000000000001,17.1,1515
2019-08-01 03:00:00,14.688580858085809,12.9,17.0,1515
2019-08-01 04:00:00,14.918481848184818,13.4,17.0,1515
2019-08-01 05:00:00,15.4003300330033,14.3,17.2,1515
2019-08-01 06:00:00,16.119009900990097,15.200000000000001,17.6,1515
2019-08-01 07:00:00,17.103762376237626,16.400000000000002,18.2,1515
2019-08-01 08:00:00,18.568646864686468,17.900000000000002,19.400000000000002,1515
2019-08-01 09:00:00,19.89643564356436,19.200000000000003,21.200000000000003,1515
2019-08-01 10:00:00,21.51854785478548,21.1,22.1,1515
2019-08-01 11:00:00,22.389768976897688,21.700000000000003,23.3,1515
2019-08-01 12:00:00,23.198877887788782,22.700000000000003,23.5,1515
2019-08-01 13:00:00,23.094257425742576,22.5,24.3,1515
2019-08-01 14:00:00,21.659273927392743,19.8,23.5,1515
2019-08-01 15:00:00,22.908250825082508,21.5,24.0,1515
2019-08-01 16:00:00,23.31815181518152,22.400000000000002,24.200000000000003,1515
2019-08-01 17:00:00,22.53762376237624,20.8,23.900000000000002,1515
2019-08-01 18:00:00,21.64666666666667,20.5,22.8,1515
2019-08-01 19:00:00,19.484818481848187,18.8,20.900000000000002,1515
2019-08-01 20:00:00,18.26825082508251,17.3,20.1,1515
2019-08-01 21:00:00,17.48013201320132,16.400000000000002,19.5,1515
2019-08-01 22:00:00,16.145874587458746,14.9,18.400000000000002,1515
2019-08-01 23:00:00,15.342244224422442,14.3,17.7,1515
2019-08-02 00:00:00,14.473597359735974,13.4,17.1,1515
2019-08-02 01:00:00,14.162508250825082,12.4,17.1,1515
2019-08-02 02:00:00,13.595775577557758,11.9,16.8,1515
2019-08-02 03:00:00,13.310429042904289,11.3,16.7,1515
2019-08-02 04:00:00,13.62983498349835,11.5,17.0,1515
2019-08-02 05:00:00,15.122970297029703,13.600000000000001,18.3,1515
2019-08-02 06:00:00,16.732277227722772,15.600000000000001,19.6,1515
2019-08-02 07:00:00,18.647194719471948,17.7,20.900000000000002,1515
2019-08-02 08:00:00,20.686270627062708,20.0,22.200000000000003,1515
2019-08-02 09:00:00,22.242706270627064,21.700000000000003,23.200000000000003,1515
2019-08-02 10:00:00,23.181320132013205,22.200000000000003,23.700000000000003,1515
2019-08-02 11:00:00,23.56745874587459,23.1,24.700000000000003,1515
2019-08-02 12:00:00,24.5606600660066,23.8,25.400000000000002,1515
2019-08-02 13:00:00,24.643828382838286,24.200000000000003,25.400000000000002,1515
2019-08-02 14:00:00,21.601122112211222,18.900000000000002,22.8,1515
2019-08-02 15:00:00,17.031023102310233,16.3,20.5,1515
2019-08-02 16:00:00,17.17828382838284,16.5,20.1,1515
2019-08-02 17:00:00,18.522640264026403,17.900000000000002,20.1,1515
2019-08-02 18:00:00,18.154653465346538,17.400000000000002,20.1,1515
2019-08-02 19:00:00,17.086798679867986,15.9,19.700000000000003,1515
2019-08-02 20:00:00,16.39003300330033,14.600000000000001,19.6,1515
2019-08-02 21:00:00,15.665808580858087,14.0,19.3,1515
2019-08-02 22:00:00,15.384224422442246,13.700000000000001,19.200000000000003,1515
2019-08-02 23:00:00,15.066336633663367,13.5,18.900000000000002,1515
2019-08-03 00:00:00,15.245544554455446,13.700000000000001,19.1,1515
2019-08-03 01:00:00,15.171089108910891,13.700000000000001,19.0,1515
2019-08-03 02:00:00,14.926402640264026,13.5,18.5,1515
2019-08-03 03:00:00,14.645082508250825,13.200000000000001,18.2,1515
2019-08-03 04:00:00,14.850957095709571,13.5,18.1,1515
2019-08-03 05:00:00,15.285478547854785,14.0,18.1,1515
2019-08-03 06:00:00,16.525346534653465,15.4,18.8,1515
2019-08-03 07:00:00,17.887260726072608,16.900000000000002,19.6,1515
2019-08-03 08:00:00,19.334323432343236,18.6,20.5,1515
2019-08-03 09:00:00,20.89894389438944,20.200000000000003,21.700000000000003,1515
2019-08-03 10:00:00,22.007920792079208,21.3,23.3,1515
2019-08-03 11:00:00,23.284620462046206,22.5,24.1,1515
2019-08-03 12:00:00,23.966732673267327,23.3,25.6,1515
2019-08-03 13:00:00,25.005412541254127,24.3,26.400000000000002,1515
2019-08-03 14:00:00,25.387524752475247,24.700000000000003,25.900000000000002,1515
2019-08-03 15:00:00,22.854455445544556,22.0,25.700000000000003,1515
2019-08-03 16:00:00,23.262310231023104,22.3,24.3,1515
2019-08-03 17:00:00,22.296105610561057,21.3,23.6,1515
